dgoel,5,0,7
dgogates,91,715,428
dgoia,0,1,0
dgol,0,13,2
dgold,11,155,77
dgoldberg,2,118,83
dgoldman,58,726,661
dgoldst,228,66,47
dgon,0,0,3
dgonzale,0,3,21
dgood,170,34,22
